ts,x,y,z,qw,qx,qy,qz,rx,ry,rz
54229633,0.542685,-5.11132,0.019322,0.81036,0.0346228,0.0836319,-0.578899,-0.0413697,0.176546,-1.24428
54296300,0.543834,-5.16009,0.0175581,0.814758,0.0301953,0.0840156,-0.572886,-0.0477849,0.172354,-1.22978
54362966,0.545812,-5.21049,0.0129989,0.822068,0.0312787,0.0776874,-0.563197,-0.0365771,0.163691,-1.20431
54429633,0.549262,-5.2633,0.00754828,0.825969,0.0339636,0.0752545,-0.557636,-0.0282006,0.162914,-1.18998
54496300,0.553695,-5.31604,0.00358714,0.824799,0.0310831,0.0823513,-0.558532,-0.0413344,0.171406,-1.19403
54562966,0.558802,-5.36759,0.00527224,0.820384,0.0247259,0.0912478,-0.563944,-0.0633975,0.178552,-1.21014
54629633,0.562673,-5.41481,0.013534,0.817997,0.0234017,0.0968482,-0.566528,-0.0727681,0.18603,-1.21825
54696300,0.56576,-5.4579,0.0240015,0.814305,0.0174597,0.0898635,-0.573172,-0.0757058,0.167145,-1.23299
54762966,0.572714,-5.50321,0.0334404,0.814061,0.0174741,0.0911002,-0.573324,-0.0771872,0.169165,-1.23373
54829633,0.580716,-5.54652,0.0430414,0.817658,0.0105138,0.084554,-0.569364,-0.0800844,0.150816,-1.22258
54896300,0.590624,-5.59021,0.0506663,0.821521,0.00183215,0.0804388,-0.564473,-0.0887189,0.134639,-1.21003
54962966,0.601707,-5.63512,0.0530013,0.829785,-0.00107052,0.0789783,-0.552465,-0.089924,0.130255,-1.18066
55029633,0.613982,-5.6825,0.0540351,0.842042,0.00178432,0.0773676,-0.533831,-0.0803889,0.132587,-1.13539
55096300,0.626076,-5.73021,0.064124,0.855781,0.00658579,0.0762516,-0.511645,-0.0674443,0.137683,-1.08235
55162966,0.639197,-5.77875,0.0896182,0.867181,0.0184636,0.083299,-0.490629,-0.050407,0.163313,-1.03387
55229633,0.650068,-5.82404,0.125072,0.877836,0.0424835,0.0760398,-0.470974,0.00300706,0.174401,-0.984603
55296300,0.662263,-5.86183,0.162774,0.880189,0.0411659,0.0623915,-0.4687,0.0141388,0.148972,-0.97756
55362966,0.675809,-5.89566,0.194596,0.88144,0.0315677,0.0472438,-0.468866,0.0114213,0.113128,-0.977085
55429633,0.686888,-5.92671,0.214476,0.887262,0.0256283,0.0120335,-0.460397,0.0344393,0.0449672,-0.956525
55496300,0.702859,-5.957,0.224232,0.890858,0.0110822,-0.0114883,-0.454002,0.0301829,-0.0104064,-0.94279
55562966,0.7253,-5.98752,0.23493,0.895278,0.00171101,0.0032265,-0.445494,0.0001889,0.00730178,-0.923457
55629633,0.744939,-6.01313,0.25091,0.895645,0.00873412,0.00145389,-0.444681,0.0143536,0.0103723,-0.921602
55696300,0.766847,-6.03549,0.273096,0.891723,0.00983402,0.00443136,-0.452453,0.0135308,0.0168027,-0.938973
55762966,0.791565,-6.05699,0.300469,0.887708,-0.000366304,0.0240621,-0.459777,-0.0227992,0.0423961,-0.956272
55829633,0.811003,-6.07851,0.329642,0.886079,0.00350938,0.0367596,-0.46206,-0.0278198,0.0684403,-0.962297
55896300,0.827315,-6.09986,0.357064,0.88423,0.00687311,0.039629,-0.465316,-0.0248004,0.0765534,-0.969785
55962966,0.8408,-6.12222,0.375928,0.882512,0.0106791,0.0383701,-0.468601,-0.0171644,0.077811,-0.976923
56029633,0.852671,-6.14522,0.382271,0.879157,0.00408191,0.0336211,-0.475326,-0.0248366,0.0630387,-0.992073
56096300,0.866339,-6.17062,0.378655,0.875214,-0.0105699,0.0354896,-0.482316,-0.052832,0.0519493,-1.00872
56162966,0.879913,-6.2007,0.375914,0.873781,-0.00972925,0.0399909,-0.484576,-0.0558909,0.0604943,-1.01439
56229633,0.892658,-6.23267,0.384792,0.878271,-0.00241759,0.036897,-0.476731,-0.0395139,0.0625468,-0.995842
56296300,0.904465,-6.26558,0.403361,0.885889,-1.36E-05,0.0283767,-0.463028,-0.0263389,0.0502859,-0.963901
56362966,0.916719,-6.30177,0.428854,0.891611,0.0147171,0.030837,-0.45151,-0.00160628,0.0683323,-0.937561
56429633,0.927213,-6.33492,0.459821,0.892258,0.0230548,0.036263,-0.449477,0.00857425,0.0855414,-0.932923
56496300,0.937928,-6.36396,0.487064,0.891129,0.0247502,0.0344509,-0.451763,0.01303,0.083861,-0.937848
56562966,0.951541,-6.39011,0.507029,0.890746,0.0212664,0.030113,-0.453004,0.0106318,0.0729782,-0.940567
56629633,0.966919,-6.41342,0.515668,0.89332,0.00997376,0.0208729,-0.448826,-0.000918093,0.0462619,-0.931193
56696300,0.985988,-6.4365,0.514242,0.894369,-0.00884292,0.0180601,-0.446879,-0.031974,0.0244038,-0.927138
56762966,1.00883,-6.46262,0.510515,0.892529,-0.0223492,0.0293114,-0.44948,-0.0663274,0.032237,-0.934121
56829633,1.0322,-6.49081,0.509271,0.891652,-0.014058,0.0373,-0.450964,-0.0588308,0.053864,-0.93808
56896300,1.05832,-6.51676,0.514515,0.891371,-0.0108575,0.0395292,-0.451418,-0.0551741,0.0607051,-0.939234
56962966,1.0881,-6.54044,0.52975,0.890804,-0.0163417,0.0444526,-0.451912,-0.069492,0.0644718,-0.941195
57029633,1.12101,-6.56569,0.553523,0.891779,-0.0114653,0.069396,-0.446971,-0.0831175,0.113768,-0.933972
57096300,1.14859,-6.58651,0.581828,0.891989,-0.00764093,0.0837821,-0.44416,-0.0890845,0.143166,-0.930393
57162966,1.17128,-6.6048,0.611346,0.893127,-0.00331913,0.0905097,-0.440593,-0.0868944,0.159423,-0.923516
57229633,1.19032,-6.62533,0.63434,0.891396,0.00619971,0.0926608,-0.443608,-0.0722801,0.171535,-0.929757
57296300,1.20812,-6.64792,0.645185,0.888183,0.00729469,0.0925424,-0.450014,-0.0714444,0.171799,-0.944091
57362966,1.22623,-6.67131,0.646514,0.883613,-0.00708221,0.0924843,-0.458939,-0.0987879,0.157592,-0.965883
57429633,1.24685,-6.69715,0.646976,0.880616,-0.0219649,0.0958148,-0.463523,-0.129297,0.14894,-0.978688
57496300,1.26837,-6.72398,0.653803,0.882296,-0.0339016,0.0989758,-0.458921,-0.152837,0.144033,-0.970312
57562966,1.28652,-6.751,0.669642,0.888868,-0.0351869,0.0889146,-0.448073,-0.143882,0.126874,-0.94299
57629633,1.30471,-6.7825,0.692688,0.896637,-0.0164449,0.0828353,-0.434638,-0.102604,0.134658,-0.90966
57696300,1.32401,-6.81553,0.720375,0.900633,0.00614906,0.0855844,-0.426026,-0.0626884,0.160082,-0.888709
57762966,1.34276,-6.84451,0.745438,0.900401,0.008704,0.0851074,-0.426566,-0.0577153,0.161387,-0.889526
57829633,1.35974,-6.87075,0.764485,0.899799,0.0102758,0.0766595,-0.429395,-0.0478787,0.147313,-0.894037
57896300,1.37847,-6.89662,0.773705,0.899706,0.00951723,0.0704391,-0.430671,-0.0439629,0.135359,-0.895873
57962966,1.39986,-6.92185,0.775159,0.899909,0.00634215,0.0670794,-0.430841,-0.0467772,0.126533,-0.895988
58029633,1.42408,-6.94608,0.776367,0.898644,-0.000823584,0.0706774,-0.432947,-0.0632275,0.126653,-0.901938
58096300,1.44886,-6.96916,0.781869,0.898888,5.85E-05,0.0672075,-0.432993,-0.0585581,0.121171,-0.901352
58162966,1.47539,-6.99047,0.796724,0.898721,0.00736731,0.0643115,-0.433718,-0.042877,0.122291,-0.901879
58229633,1.50255,-7.00766,0.820453,0.895926,0.00450026,0.0624205,-0.439773,-0.0471727,0.116067,-0.915357
58296300,1.53037,-7.02517,0.848775,0.895163,0.00454708,0.0793141,-0.438601,-0.062139,0.14651,-0.915741
58362966,1.55116,-7.04182,0.877065,0.893225,0.0102065,0.0843039,-0.441518,-0.056971,0.160303,-0.922727
58429633,1.56821,-7.05993,0.903207,0.890167,0.0165323,0.0894091,-0.446469,-0.0512066,0.17483,-0.934273
58496300,1.58205,-7.07979,0.918231,0.885571,0.0181246,0.0896563,-0.455409,-0.0503602,0.176213,-0.954422
58562966,1.59619,-7.10156,0.920093,0.881516,0.0122548,0.0863592,-0.464028,-0.0593753,0.164366,-0.973977
58629633,1.61246,-7.12583,0.918428,0.878754,0.00285151,0.0882885,-0.469029,-0.0788776,0.158506,-0.98682
58696300,1.62989,-7.15484,0.921828,0.877261,-0.000431803,0.0912752,-0.471256,-0.0880281,0.160425,-0.992991
58762966,1.64583,-7.18625,0.9328,0.878981,0.00390796,0.0863499,-0.468956,-0.0751015,0.156098,-0.986086
58829633,1.661,-7.2187,0.950304,0.885373,0.0129525,0.0796189,-0.457829,-0.0505838,0.153446,-0.958361
58896300,1.67756,-7.25438,0.974308,0.888236,0.0229387,0.0836742,-0.45112,-0.0352606,0.170161,-0.942875
58962966,1.69089,-7.28742,1.00585,0.888009,0.0339737,0.086462,-0.450344,-0.0178435,0.185215,-0.940341
59029633,1.70417,-7.31431,1.03546,0.886817,0.0292313,0.0780289,-0.454546,-0.0193561,0.165726,-0.948896
59096300,1.7206,-7.33744,1.05819,0.886289,0.0173795,0.0766012,-0.456422,-0.0395866,0.152234,-0.954141
59162966,1.73689,-7.35885,1.07109,0.88847,0.0102463,0.0648772,-0.45421,-0.0410599,0.124916,-0.947745
59229633,1.75706,-7.38073,1.07573,0.889277,-0.000331903,0.0579402,-0.453684,-0.0534717,0.10293,-0.946258
59296300,1.7798,-7.40259,1.07695,0.889182,-0.0102667,0.0532538,-0.454327,-0.0669414,0.0854798,-0.947601
59362966,1.80484,-7.42507,1.07959,0.889771,-0.0143589,0.0500401,-0.453428,-0.0711974,0.0761004,-0.945309
59429633,1.83168,-7.44613,1.08919,0.89083,-0.0140804,0.0448345,-0.4519,-0.0658038,0.0672045,-0.941121
59496300,1.86091,-7.46565,1.1102,0.891312,-0.0127697,0.0482774,-0.450632,-0.0665082,0.0746208,-0.938691
59562966,1.88839,-7.4847,1.14237,0.890296,-0.0118876,0.0649206,-0.450573,-0.0801977,0.105078,-0.941241
59629633,1.90632,-7.50044,1.17848,0.889428,-0.011219,0.0623358,-0.452665,-0.0768576,0.100901,-0.945429
59696300,1.919,-7.51551,1.21125,0.888383,-0.00827332,0.0628091,-0.454711,-0.0722747,0.104262,-0.949923
59762966,1.9298,-7.53331,1.22902,0.886704,-0.000817077,0.0600789,-0.458418,-0.0568812,0.105994,-0.957313
59829633,1.94096,-7.55333,1.23157,0.881842,-0.00469633,0.0539319,-0.468428,-0.0590871,0.0908439,-0.979265
59896300,1.95416,-7.57793,1.22891,0.876361,-0.0129397,0.0583058,-0.477937,-0.0788125,0.0899463,-1.0021
59962966,1.96661,-7.60638,1.23116,0.873667,-0.0144151,0.0668484,-0.481694,-0.0901896,0.103102,-1.01241
60029633,1.97779,-7.63529,1.24038,0.87376,-0.0178904,0.0673155,-0.481344,-0.0967062,0.100582,-1.01192
60096300,1.98805,-7.6659,1.2574,0.878869,-0.007708,0.0631197,-0.472806,-0.0736988,0.103846,-0.990954
